"Name";"Constituency";"Minister";"Attendance";"Debates";"Questions";"Private Member Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Comment";"Lok Sabha";"Debates (Ls - Matters Under (Rule-377))";"Debates (Special Mention)";"Debates (Government Bills)";"Debates (Motion Of Thanks On The President'S Address)";"Debates (Private Members' Bills)";"Debates (Ls - Short Duration Discussions (Rule-193))";"Debates (Budget (General))";"Debates (Motion Of Thanks On The President�S Address)";"Questions (Development Of North Eastern Region)";"Questions (Law And Justice)";"Questions (Health And Family Welfare)";"Questions (Minority Affairs)";"Questions (Textiles)";"Questions (Railways)";"Questions (Home Affairs)";"Questions (Environment, Forest And Climate Change)";"Questions (Tourism)";"Questions (Culture)";"Questions (Ayush)";"Questions (Ports, Shipping And Waterways)";"Questions (Jal Shakti)";"Questions (Communications)";"Questions (Planning)";"Questions (Agriculture And Farmers Welfare)";"Questions (Finance)";"Questions (Prime Minister)";"Questions (Women And Child Development)";"Questions (Road Transport And Highways)";"Questions (Social Justice And Empowerment)";"Questions (Coal)";"Questions (Parliamentary Affairs)";"Questions (Tribal Affairs)";"Questions (Education)";"Questions (External Affairs)";"Questions (Civil Aviation)";"Questions (Commerce And Industry)";"Questions (Statistics And Programme Implementation)";"Questions (Power)";"Questions (Labour And Employment)";"Questions (Steel)";"Questions (Defence)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Electronics And Information Technology)";"Questions (Rural Development)";"Questions (Panchayati Raj)";"Questions (Information And Broadcasting)";"Questions (Youth Affairs And Sports)";"Questions (Corporate Affairs)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Housing And Urban Affairs)";"Questions (Petroleum And Natural Gas)";"Questions (Skill Development And Entrepreneurship)";"Questions (Micro, Small And Medium Enterprises)";"Questions (Human Resource Development)";"Questions (Shipping)";"Questions (Earth Sciences)";"Questions (Food Processing Industries)";"Questions (Mines)";"Questions (Cooperation)";"Questions (Chemicals And Fertilizers)";"Questions (Fisheries, Animal Husbandry And Dairying)";"Questions (New And Renewable Energy)";"Questions (Science And Technology)";"Questions (Statiscs And Programme Implementation)";"Debates (Others)";"Debates (Discussion)";"Debates (Private Members' Resolutions)";"Debates (Submissions By Members)";"Debates (Statement By Minister)";"Debates (Clarification On The Statement By Minister)";"Debates (Felicitations)";"Questions (Consumer Affairs)";"Questions (Micro)";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Questions (Atomic Energy)";"Questions (Heavy Industries)";"Questions (Space)";"Questions (Personnel, Public Grievances And Pensions)"
"Niranjan Jyoti";"Fatehpur";"Yes";"";"0";"0";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"57";"Female";"Inter/ Higher Secondary";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nishikant Dubey";"Godda";"No";"96.87%";"193";"375";"19";"Jharkhand";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Third Term";"55";"Male";"Professional Post Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"45";"82";"30";"2";"1";"5";"14";"1";"0";"10";"31";"4";"17";"12";"10";"12";"9";"14";"11";"1";"17";"8";"3";"22";"8";"8";"8";"5";"5";"4";"0";"7";"7";"0";"4";"6";"1";"3";"10";"1";"2";"5";"13";"7";"4";"1";"6";"11";"3";"8";"1";"9";"7";"2";"1";"2";"12";"1";"2";"10";"0";"10";"0";"0";"1";"1";"4";"6";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Nisith Pramanik";"Cooch Behar";"Yes";"80.80%";"8";"77";"0";"West Bengal";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"38";"Male";"Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"2";"5";"0";"0";"0";"0";"1";"0";"1";"3";"5";"1";"2";"2";"0";"3";"0";"3";"0";"2";"2";"2";"0";"3";"0";"1";"4";"1";"2";"1";"0";"0";"4";"2";"1";"2";"1";"2";"1";"0";"0";"0";"3";"4";"0";"3";"0";"1";"2";"3";"0";"0";"2";"0";"0";"0";"3";"1";"0";"1";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nitesh Ganga Deb";"Sambalpur";"No";"88.87%";"22";"98";"0";"Odisha";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"51";"Male";"Inter/ Higher Secondary";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"14";"6";"0";"0";"0";"0";"2";"0";"0";"0";"8";"0";"0";"10";"11";"4";"0";"0";"3";"0";"4";"4";"0";"6";"9";"1";"1";"5";"0";"0";"0";"0";"1";"1";"3";"4";"0";"2";"0";"0";"5";"3";"5";"0";"0";"0";"0";"0";"1";"1";"2";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nitin Jairam Gadkari";"Nagpur";"Yes";"";"0";"0";"0";"Maharashtra";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"66";"Male";"Post Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nityanand Rai";"Ujiarpur";"Yes";"";"0";"0";"0";"Bihar";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"58";"Male";"Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"N.K.Premachandran";"Kollam";"No";"90.27%";"267";"272";"18";"Kerala";"Revolutionary Socialist Party";"Elected";"23-05-2019";"In Office";"Fourth Term";"63";"Male";"Professional Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"38";"76";"97";"6";"1";"11";"24";"1";"0";"2";"20";"2";"1";"13";"16";"5";"2";"1";"10";"2";"3";"3";"0";"15";"26";"8";"9";"18";"3";"0";"0";"0";"9";"9";"11";"4";"3";"2";"12";"0";"4";"12";"4";"3";"1";"4";"0";"5";"0";"3";"7";"0";"2";"7";"0";"1";"1";"0";"0";"3";"6";"0";"0";"0";"3";"1";"1";"6";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"Nusrat Jahan Ruhi";"Basirhat";"No";"23.80%";"12";"147";"0";"West Bengal";"All India Trinamool Congress";"Elected";"23-05-2019";"In Office";"First Term";"34";"Female";"Post Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"1";"7";"1";"0";"0";"0";"2";"0";"0";"0";"15";"8";"3";"12";"1";"0";"0";"2";"0";"0";"5";"2";"1";"9";"8";"2";"8";"4";"5";"2";"0";"2";"4";"1";"6";"3";"1";"2";"8";"0";"4";"2";"0";"2";"0";"4";"2";"0";"1";"3";"5";"0";"1";"3";"0";"2";"0";"0";"1";"1";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Om Birla";"Kota";"No";"";"0";"0";"0";"Rajasthan";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"61";"Male";"Post Graduate";"As a Speaker, this MP does not sign the attendance register and participate in debates and questions. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Omprakash";"Osmanabad";"No";"93.87%";"71";"362";"1";"Maharashtra";"Shiv Sena";"Elected";"23-05-2019";"In Office";"First Term";"40";"Male";"Professional Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"8";"45";"2";"3";"0";"2";"10";"0";"0";"7";"30";"1";"15";"27";"11";"9";"8";"1";"13";"0";"11";"11";"2";"15";"21";"1";"8";"12";"2";"4";"0";"3";"12";"2";"7";"4";"0";"3";"13";"2";"4";"8";"8";"19";"2";"2";"4";"4";"1";"12";"5";"9";"6";"4";"0";"0";"2";"1";"0";"5";"7";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"P. C. Mohan";"Bangalore Central";"No";"84.40%";"9";"189";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Third Term";"60";"Male";"Inter/ Higher Secondary";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"2";"0";"3";"0";"1";"2";"1";"0";"0";"17";"0";"2";"8";"10";"15";"3";"1";"3";"2";"4";"5";"3";"4";"9";"2";"4";"8";"3";"1";"0";"0";"8";"1";"4";"7";"0";"2";"1";"1";"3";"5";"4";"6";"1";"2";"2";"1";"3";"11";"4";"0";"1";"2";"1";"0";"1";"2";"1";"5";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"P. Raveendranath Kumar";"Theni";"No";"54.67%";"103";"196";"0";"Tamil Nadu";"All India Anna Dravida Munnetra Kazhagam";"Elected";"23-05-2019";"In Office";"First Term";"44";"Male";"Information Not Available";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"13";"16";"47";"4";"0";"5";"16";"1";"1";"5";"3";"5";"8";"11";"5";"6";"4";"5";"13";"2";"7";"1";"0";"5";"3";"5";"9";"2";"4";"2";"0";"0";"7";"2";"9";"1";"1";"2";"6";"1";"1";"8";"3";"1";"2";"2";"3";"1";"3";"2";"1";"4";"4";"3";"1";"2";"5";"1";"1";"5";"2";"4";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"P. Velusamy";"Dindigul";"No";"81.73%";"16";"211";"0";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"23-05-2019";"In Office";"First Term";"56";"Male";"Information Not Available";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"7";"8";"0";"0";"0";"0";"1";"0";"0";"0";"18";"0";"1";"6";"4";"5";"1";"2";"3";"2";"2";"14";"2";"16";"28";"5";"6";"1";"1";"4";"0";"0";"2";"3";"18";"7";"0";"5";"8";"0";"0";"6";"7";"9";"0";"1";"1";"1";"2";"3";"2";"0";"3";"1";"0";"1";"0";"0";"0";"7";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pakauri Lal";"Robertsganj";"No";"82.27%";"2";"0";"0";"Uttar Pradesh";"Apna Dal";"Elected";"23-05-2019";"In Office";"Second Term";"71";"Male";"Under Matric";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pallab Lochan Das";"Tezpur";"No";"81.73%";"14";"133";"0";"Assam";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"45";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"1";"6";"4";"1";"0";"1";"1";"0";"7";"0";"9";"1";"3";"4";"4";"3";"3";"0";"5";"3";"6";"1";"0";"3";"5";"0";"3";"3";"1";"3";"0";"2";"4";"0";"1";"7";"1";"1";"8";"0";"2";"4";"1";"2";"0";"2";"5";"0";"1";"2";"4";"1";"2";"2";"0";"1";"2";"0";"0";"7";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pankaj Chowdhary";"Maharajganj";"Yes";"94.40%";"20";"103";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Sixth Term";"59";"Male";"Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"11";"7";"0";"0";"0";"0";"2";"0";"0";"1";"8";"1";"1";"10";"4";"7";"1";"0";"0";"0";"5";"1";"1";"5";"3";"1";"3";"4";"2";"0";"0";"0";"1";"0";"3";"6";"0";"1";"4";"0";"0";"6";"1";"2";"0";"0";"0";"0";"0";"2";"5";"1";"1";"7";"0";"2";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Parbhatbhai Savabhai Patel";"Banaskantha";"No";"93.47%";"55";"360";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"75";"Male";"Professional Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"29";"10";"1";"3";"0";"1";"11";"0";"2";"6";"12";"3";"5";"15";"4";"14";"7";"10";"22";"2";"5";"5";"1";"28";"10";"0";"6";"3";"7";"5";"0";"6";"15";"1";"11";"16";"0";"8";"8";"0";"0";"13";"9";"10";"2";"8";"4";"2";"0";"12";"9";"8";"6";"2";"2";"3";"8";"1";"0";"11";"6";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Parvesh Sahib Singh Verma";"West Delhi";"No";"94.00%";"47";"269";"12";"Delhi";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"46";"Male";"Professional Post Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"14";"25";"5";"1";"0";"1";"0";"0";"0";"2";"20";"0";"5";"3";"15";"12";"4";"5";"5";"2";"6";"2";"2";"9";"7";"12";"9";"9";"5";"1";"0";"4";"7";"2";"3";"3";"2";"4";"11";"2";"8";"5";"9";"4";"2";"1";"4";"2";"4";"17";"3";"3";"4";"3";"2";"5";"2";"0";"1";"6";"4";"2";"5";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pashu Pati Kumar Paras";"Hajipur";"Yes";"56.20%";"1";"3";"0";"Bihar";"Lok Jan Shakti Party";"Elected";"23-05-2019";"In Office";"First Term";"71";"Male";"Professional Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pashupati Nath Singh";"Dhanbad";"No";"90.20%";"19";"122";"0";"Jharkhand";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Third Term";"74";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"5";"8";"0";"1";"0";"0";"5";"0";"0";"2";"6";"0";"5";"9";"3";"4";"1";"2";"2";"0";"4";"1";"1";"6";"5";"0";"4";"6";"5";"5";"0";"0";"4";"0";"2";"4";"0";"1";"4";"1";"0";"2";"1";"1";"0";"4";"3";"2";"0";"3";"3";"3";"0";"5";"0";"0";"2";"0";"0";"4";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Patel Hasmukhbhai Somabhai";"Ahmedabad East";"No";"90.27%";"20";"147";"1";"Gujarat";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"63";"Male";"Diploma Course";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"7";"2";"0";"3";"0";"0";"8";"0";"0";"0";"4";"0";"8";"4";"0";"3";"2";"2";"8";"5";"5";"1";"1";"8";"1";"2";"3";"3";"0";"2";"0";"2";"6";"1";"1";"2";"0";"0";"4";"1";"1";"2";"4";"3";"3";"2";"0";"1";"0";"6";"3";"10";"0";"1";"1";"0";"7";"2";"0";"11";"4";"5";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"P.C. Gaddigoudar";"Bagalkot";"No";"91.00%";"5";"76";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Fourth Term";"72";"Male";"Professional Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"1";"1";"0";"1";"0";"0";"1";"1";"0";"0";"5";"0";"2";"5";"6";"3";"1";"1";"0";"0";"2";"1";"0";"5";"7";"1";"3";"4";"0";"0";"0";"1";"1";"1";"1";"5";"0";"0";"2";"0";"2";"3";"0";"1";"0";"0";"2";"2";"0";"4";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pinaki Misra";"Puri";"No";"91.27%";"46";"201";"0";"Odisha";"Biju Janata Dal";"Elected";"23-05-2019";"In Office";"Fourth Term";"64";"Male";"Professional Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"3";"25";"5";"0";"4";"4";"0";"0";"9";"12";"1";"3";"5";"12";"18";"1";"1";"1";"5";"7";"5";"0";"6";"12";"5";"6";"6";"5";"3";"0";"4";"1";"4";"8";"5";"0";"3";"4";"0";"2";"2";"2";"4";"2";"2";"2";"3";"0";"2";"3";"1";"3";"4";"0";"1";"0";"4";"0";"1";"6";"2";"3";"0";"2";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"P.K. Kunhalikutty";"Malappuram";"No";"67.00%";"25";"58";"0";"Kerala";"Indian Union Muslim League";"Elected";"23-05-2019";"03-02-2021";"Second Term";"72";"Male";"Diploma Course";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"2";"6";"9";"2";"0";"1";"3";"0";"0";"1";"5";"6";"3";"5";"3";"3";"0";"1";"1";"0";"0";"1";"0";"1";"7";"0";"0";"0";"0";"0";"0";"0";"0";"1";"6";"0";"0";"0";"2";"0";"0";"2";"0";"2";"0";"1";"0";"0";"0";"2";"1";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Pocha. Brahmananda Reddy";"Nandyal";"No";"65.33%";"22";"271";"0";"Andhra Pradesh";"Yuvajana Sramika Rythu Congress Party";"Elected";"23-05-2019";"In Office";"First Term";"66";"Male";"Post Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"11";"4";"3";"1";"0";"1";"2";"0";"0";"2";"14";"3";"8";"5";"4";"11";"4";"1";"11";"2";"11";"8";"0";"20";"11";"1";"0";"3";"0";"1";"1";"4";"19";"0";"10";"18";"1";"3";"3";"1";"3";"4";"5";"4";"0";"4";"1";"6";"2";"11";"4";"2";"6";"0";"0";"2";"1";"2";"3";"18";"8";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Poonam Mahajan Alias Poonam Vajendla Rao";"Mumbai-North-Central";"No";"87.60%";"7";"307";"0";"Maharashtra";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"43";"Female";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"2";"1";"3";"0";"0";"0";"1";"0";"0";"8";"12";"2";"5";"8";"6";"15";"5";"8";"10";"2";"6";"3";"2";"14";"9";"7";"9";"7";"5";"6";"0";"3";"6";"2";"5";"8";"1";"5";"8";"2";"8";"6";"4";"8";"4";"6";"3";"10";"5";"10";"4";"6";"6";"1";"0";"3";"6";"0";"0";"9";"6";"9";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Poonamben Hematbhai Maadam";"Jamnagar";"No";"86.47%";"27";"289";"2";"Gujarat";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"49";"Female";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"1";"1";"2";"5";"0";"0";"18";"0";"0";"4";"16";"1";"8";"11";"4";"7";"9";"9";"12";"2";"14";"5";"3";"19";"14";"4";"13";"3";"5";"0";"0";"0";"8";"1";"8";"7";"1";"1";"6";"1";"2";"10";"4";"5";"0";"3";"5";"4";"2";"7";"5";"6";"5";"4";"1";"2";"4";"0";"2";"7";"8";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"P.P. Chaudhary";"Pali";"No";"95.00%";"161";"523";"16";"Rajasthan";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"70";"Male";"Professional Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"25";"88";"17";"5";"2";"2";"19";"1";"0";"9";"32";"2";"12";"21";"20";"20";"6";"10";"8";"6";"20";"9";"1";"21";"16";"8";"19";"10";"15";"5";"0";"13";"15";"7";"14";"10";"0";"6";"16";"2";"10";"9";"11";"11";"3";"3";"5";"4";"5";"18";"8";"15";"13";"6";"1";"0";"5";"2";"1";"8";"14";"11";"5";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"P.P. Mohammed Faizal";"Lakshadweep";"No";"81.53%";"36";"245";"0";"Lakshadweep";"Nationalist Congress Party";"Elected";"23-05-2019";"In Office";"Second Term";"48";"Male";"Professional Post Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"8";"17";"6";"0";"0";"1";"4";"0";"0";"3";"32";"8";"5";"14";"10";"6";"5";"1";"5";"6";"10";"6";"0";"8";"9";"4";"6";"4";"1";"0";"0";"6";"16";"7";"7";"3";"0";"1";"8";"0";"4";"5";"6";"6";"2";"3";"5";"1";"1";"4";"4";"0";"0";"2";"2";"0";"0";"0";"0";"1";"6";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"P.R. Natarajan";"Coimbatore";"No";"87.07%";"56";"253";"0";"Tamil Nadu";"Communist Party of India (Marxist)";"Elected";"23-05-2019";"In Office";"Second Term";"73";"Male";"Under Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"20";"2";"15";"2";"0";"1";"15";"0";"0";"3";"21";"1";"0";"12";"8";"4";"1";"4";"4";"0";"8";"19";"2";"5";"21";"3";"9";"4";"8";"1";"1";"0";"12";"7";"6";"2";"1";"4";"12";"1";"2";"9";"4";"12";"1";"3";"4";"1";"0";"8";"3";"2";"6";"5";"0";"1";"1";"0";"0";"2";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
"Pradan Baruah";"Lakhimpur";"No";"83.60%";"0";"15";"0";"Assam";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"58";"Male";"Diploma Course";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pradeep Kumar";"Kairana";"No";"94.20%";"18";"22";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"54";"Male";"Information Not Available";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"5";"10";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"2";"0";"2";"1";"1";"0";"0";"2";"2";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pradeep Kumar Singh";"Araria";"No";"95.67%";"34";"286";"0";"Bihar";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"59";"Male";"Matric";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"10";"19";"0";"0";"0";"1";"4";"0";"1";"4";"15";"5";"4";"16";"5";"11";"5";"10";"17";"1";"8";"3";"4";"14";"2";"2";"9";"7";"6";"5";"0";"9";"7";"1";"8";"6";"1";"4";"9";"0";"1";"7";"5";"10";"3";"3";"5";"2";"2";"6";"4";"4";"5";"4";"0";"1";"2";"3";"6";"4";"2";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
