"Name";"Constituency";"Attendance";"Debates";"Questions";"Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Lok Sabha";"Debates (Ls - Matters Under (Rule-377))";"Debates (Special Mention)";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Ls - Short Duration Discussions (Rule-193))";"Debates (Budget (Railways))";"Debates (Submissions By Members)";"Debates (Motion Of Thanks On The President'S Address)";"Questions (Housing And Urban Affairs)";"Questions (Steel)";"Questions (Women And Child Development)";"Questions (Home Affairs)";"Questions (Finance)";"Questions (Defence)";"Questions (Health And Family Welfare)";"Questions (Civil Aviation)";"Questions (Railways)";"Questions (Commerce And Industry)";"Questions (Drinking Water And Sanitation)";"Questions (Coal)";"Questions (Water Resources, River Development And Ganga Rejuvenation)";"Questions (External Affairs)";"Questions (Textiles)";"Questions (Urban Development)";"Questions (Prime Minister)";"Questions (Shipping)";"Questions (Housing And Urban Poverty Alleviation)";"Questions (Communications And Information Technology)";"Questions (Rural Development)";"Questions (Labour And Employment)";"Questions (Culture)";"Questions (Power)";"Questions (Agriculture And Farmers Welfare)";"Questions (Human Resource Development)";"Questions (Agriculture)";"Questions (Road Transport And Highways)";"Questions (Minority Affairs)";"Questions (Mines)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Environment, Forests And Climate Change)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Petroleum And Natural Gas)";"Questions (New And Renewable Energy)";"Questions (Tourism)";"Questions (Information And Broadcasting)";"Questions (Social Justice And Empowerment)";"Questions (Micro, Small And Medium Enterprises)";"Debates (Private Members' Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Questions (Communications)";"Questions (Environment, Forest And Climate Change)";"Questions (Food Processing Industries)";"Questions (Tribal Affairs)";"Questions (Electronics And Information Technology)";"Questions (Youth Affairs And Sports)";"Questions (Chemicals And Fertilizers)";"Questions (Panchayati Raj)";"Questions (Ayush)";"Questions (Science And Technology)";"Questions (Law And Justice)";"Questions (Statistics And Programme Implementation)";"Questions (Skill Development And Entrepreneurship)";"Questions (Corporate Affairs)";"Questions (Earth Sciences)";"Questions (Skill Development, Entrepreneurship, Youth Affairs And Sports)";"Questions (Development Of North Eastern Region)";"Debates (Private Members' Bills)";"Debates (Statutory Resolution And Government Bill)";"Questions (Planning)";"Questions (Water Resources)";"Debates (Government Resolutions)";"Questions (Overseas Indian Affairs)";"Debates (Others)";"Debates (Adjournment Motion)";"Questions (Personnel, Public Grievances And Pensions)";"Debates (Felicitations)";"Questions (Parliamentary Affairs)";"Debates (Ls - No-Confidence Motion (Rule-198))";"Debates (Clarification On The Statement By Minister)";"Debates (Statutory Resolutions)";"Debates (Budget (States))";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Debates (Ls - Personal Explanation By Members (Rule-357))";"Questions (Atomic Energy)"
"Manoj Rajoria";"Karauli-Dholpur";"91.76%";"282";"422";"12";"Rajasthan";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"49";"Male";"Professional Post Graduate";"16th";"21";"235";"8";"6";"1";"0";"7";"1";"3";"11";"6";"17";"22";"17";"15";"5";"6";"9";"5";"13";"4";"7";"8";"8";"10";"8";"2";"6";"13";"10";"6";"11";"12";"16";"5";"5";"8";"7";"5";"7";"7";"5";"3";"10";"5";"5";"5";"1";"0";"4";"1";"8";"8";"2";"11";"8";"6";"11";"0";"5";"4";"6";"8";"6";"1";"2";"1";"0";"1";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Manoj Tiwari";"North East Delhi";"80.65%";"10";"261";"0";"Delhi";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"48";"Male";"Professional Post Graduate";"16th";"0";"3";"4";"0";"0";"0";"0";"1";"4";"1";"3";"7";"17";"8";"18";"6";"24";"1";"1";"2";"7";"4";"4";"4";"4";"2";"0";"0";"4";"2";"6";"4";"6";"18";"2";"12";"1";"1";"2";"2";"2";"6";"4";"6";"0";"1";"2";"1";"0";"1";"12";"2";"5";"3";"10";"12";"0";"8";"2";"5";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Manshankar Ninama";"Banswara";"78.06%";"18";"307";"0";"Rajasthan";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"59";"Male";"Under Matric";"16th";"7";"11";"0";"0";"0";"0";"0";"0";"3";"1";"3";"9";"14";"17";"15";"6";"9";"12";"5";"9";"4";"8";"2";"2";"6";"2";"2";"2";"6";"9";"7";"13";"13";"13";"1";"4";"1";"2";"1";"1";"6";"4";"4";"5";"2";"8";"4";"0";"0";"4";"16";"0";"5";"3";"4";"7";"3";"9";"3";"2";"0";"8";"1";"3";"1";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Mansukhbhai D. Vasava";"Bharuch";"88.11%";"30";"284";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Fifth";"61";"Male";"Post Graduate";"16th";"18";"9";"0";"1";"0";"0";"0";"2";"7";"0";"7";"15";"29";"4";"19";"6";"20";"9";"3";"0";"3";"4";"5";"2";"3";"4";"1";"0";"8";"1";"1";"4";"20";"14";"0";"4";"0";"4";"2";"1";"8";"15";"2";"1";"2";"3";"1";"0";"0";"9";"7";"2";"7";"4";"4";"0";"1";"0";"1";"4";"0";"5";"4";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Mausam Noor";"Maldaha Uttar";"46.53%";"9";"244";"0";"West Bengal";"Indian National Congress";"Elected";"18-May-14";"14-03-2019";"Second";"39";"Female";"Professional Graduate";"16th";"6";"2";"1";"0";"0";"0";"0";"0";"1";"0";"10";"7";"5";"7";"25";"5";"11";"5";"9";"2";"6";"7";"5";"1";"15";"3";"1";"2";"7";"10";"0";"0";"10";"16";"2";"4";"7";"0";"0";"5";"3";"6";"2";"2";"1";"3";"2";"0";"0";"0";"5";"3";"2";"2";"3";"6";"0";"3";"1";"3";"1";"2";"2";"1";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"M. B. Rajesh";"Palakkad";"81.76%";"238";"578";"0";"Kerala";"Communist Party of India (Marxist)";"Elected";"18-May-14";"In office";"Second";"48";"Male";"Post Graduate";"16th";"16";"151";"17";"5";"4";"2";"43";"0";"1";"0";"13";"19";"45";"9";"17";"27";"31";"20";"11";"0";"5";"17";"2";"3";"13";"2";"3";"12";"24";"23";"1";"13";"24";"37";"9";"5";"4";"1";"13";"15";"16";"18";"11";"5";"4";"15";"1";"0";"0";"3";"6";"2";"11";"7";"13";"4";"3";"6";"7";"12";"5";"2";"2";"0";"0";"0";"0";"0";"3";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"M. Chandrakasi";"Chidambaram";"76.41%";"24";"316";"0";"Tamil Nadu";"All India Anna Dravida Munnetra Kazhagam";"Elected";"18-May-14";"In office";"First";"50";"Male";"Post Graduate";"16th";"9";"8";"2";"2";"2";"0";"0";"1";"2";"4";"3";"13";"17";"10";"13";"16";"10";"12";"3";"4";"6";"8";"1";"2";"13";"4";"1";"1";"6";"5";"9";"10";"10";"11";"4";"3";"2";"3";"1";"4";"5";"7";"3";"0";"1";"4";"3";"0";"0";"4";"12";"4";"4";"0";"6";"8";"5";"13";"2";"6";"4";"5";"1";"6";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Md. Salim";"Raiganj";"84.94%";"85";"97";"0";"West Bengal";"Communist Party of India (Marxist)";"Elected";"18-May-14";"In office";"Second";"61";"Male";"Post Graduate";"16th";"0";"20";"22";"6";"10";"0";"17";"5";"0";"0";"2";"11";"6";"4";"10";"1";"5";"5";"3";"0";"2";"3";"1";"0";"0";"0";"1";"0";"3";"3";"0";"0";"5";"3";"0";"6";"3";"0";"0";"0";"2";"2";"0";"0";"0";"2";"2";"0";"1";"1";"1";"0";"0";"4";"1";"2";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0"
"Meenakashi Lekhi";"New Delhi";"95.35%";"125";"437";"20";"Delhi";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"51";"Female";"Professional Graduate";"16th";"12";"73";"19";"5";"4";"1";"4";"3";"4";"3";"8";"15";"16";"16";"23";"13";"13";"6";"9";"3";"7";"4";"2";"11";"11";"2";"3";"9";"5";"4";"15";"6";"16";"21";"5";"15";"0";"2";"0";"11";"9";"7";"22";"9";"4";"6";"14";"0";"0";"3";"12";"4";"8";"2";"10";"6";"0";"7";"5";"4";"2";"8";"8";"1";"4";"1";"1";"0";"1";"2";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Mehbooba Mufti";"Anantnag";"35.62%";"9";"26";"0";"Jammu and Kashmir";"Jammu and Kashmir Peoples Democratic Party";"Elected";"18-May-14";"04-07-2016";"Second";"59";"Female";"Professional Graduate";"16th";"0";"2";"0";"0";"1";"0";"2";"1";"0";"0";"0";"4";"3";"2";"0";"0";"2";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"2";"3";"1";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"Mekapati Rajamohan Reddy";"Nellore";"91.79%";"59";"311";"0";"Andhra Pradesh";"Yuvajana Sramika Rythu Congress Party";"Elected";"18-May-14";"20-06-2018";"Fourth";"74";"Male";"Professional Graduate";"16th";"0";"4";"19";"8";"9";"3";"6";"3";"0";"1";"3";"28";"24";"7";"18";"6";"25";"7";"6";"1";"9";"10";"2";"13";"6";"1";"2";"2";"11";"4";"1";"10";"12";"20";"11";"20";"1";"0";"1";"2";"10";"1";"0";"3";"2";"1";"3";"0";"0";"1";"2";"0";"1";"0";"1";"3";"0";"1";"1";"12";"0";"1";"1";"0";"1";"0";"0";"1";"2";"0";"1";"0";"1";"1";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0"
"M. I. Shanavas";"Wayanad";"65.27%";"46";"232";"0";"Kerala";"Indian National Congress";"Elected";"18-May-14";"21-12-2018";"Second";"67";"Male";"Post Graduate";"16th";"19";"19";"5";"1";"0";"0";"1";"1";"1";"0";"4";"8";"11";"4";"14";"7";"5";"10";"6";"2";"1";"11";"1";"2";"9";"1";"4";"3";"2";"9";"1";"3";"9";"7";"4";"10";"11";"0";"0";"8";"3";"1";"4";"4";"2";"5";"2";"0";"0";"3";"4";"3";"6";"2";"4";"2";"1";"3";"0";"2";"1";"3";"5";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"M. K. Raghavan";"Kozhikode";"75.06%";"70";"339";"15";"Kerala";"Indian National Congress";"Elected";"18-May-14";"In office";"Second";"66";"Male";"Graduate";"16th";"12";"38";"3";"5";"0";"3";"9";"0";"0";"3";"4";"21";"27";"15";"8";"15";"14";"12";"3";"3";"5";"13";"1";"5";"8";"3";"1";"7";"7";"10";"2";"6";"12";"17";"5";"14";"0";"0";"1";"6";"9";"13";"5";"4";"1";"3";"2";"0";"0";"3";"6";"0";"0";"5";"5";"8";"1";"1";"3";"8";"0";"2";"3";"3";"3";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Mohanbhai Kalyanjibhai Kundariya";"Rajkot";"91.91%";"16";"261";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"67";"Male";"Matric";"16th";"0";"7";"0";"5";"2";"2";"0";"0";"4";"1";"4";"12";"8";"4";"22";"19";"37";"10";"3";"0";"3";"1";"2";"1";"1";"2";"0";"0";"2";"3";"5";"1";"14";"18";"2";"13";"1";"2";"2";"2";"4";"8";"2";"3";"1";"1";"3";"0";"0";"1";"13";"1";"1";"5";"1";"5";"1";"3";"1";"3";"0";"2";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Mriganka Mahato";"Purulia";"69.41%";"5";"8";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18-May-14";"In office";"First";"56";"Male";"Professional Graduate";"16th";"1";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"M. Udhaya Kumar";"Dindigul";"83.29%";"51";"489";"0";"Tamil Nadu";"All India Anna Dravida Munnetra Kazhagam";"Elected";"18-May-14";"In office";"First";"50";"Male";"Post Graduate";"16th";"9";"25";"7";"7";"0";"3";"0";"0";"1";"2";"4";"26";"52";"14";"20";"29";"28";"18";"2";"9";"5";"13";"6";"7";"9";"5";"5";"9";"6";"10";"1";"6";"10";"33";"7";"20";"1";"1";"3";"5";"16";"24";"11";"3";"3";"1";"2";"0";"0";"11";"8";"2";"1";"5";"2";"6";"3";"2";"3";"7";"0";"3";"1";"2";"2";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Mukesh Rajput";"Farrukhabad";"90.24%";"43";"34";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"50";"Male";"Graduate";"16th";"11";"24";"0";"1";"2";"2";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"3";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"2";"1";"0";"2";"0";"2";"0";"0";"0";"1";"0";"1";"1";"1";"0";"1";"1";"0";"0";"0";"1";"2";"0";"0";"2";"2";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Mulayam Singh Yadav";"Azamgarh";"83.53%";"44";"0";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"18-May-14";"In office";"Sixth";"79";"Male";"Post Graduate";"16th";"0";"9";"6";"1";"7";"1";"9";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0"
"Munisamy Thambidurai";"Karur";"65.33%";"35";"13";"0";"Tamil Nadu";"All India Anna Dravida Munnetra Kazhagam";"Elected";"18-May-14";"In office";"Fifth";"72";"Male";"Doctorate";"16th";"0";"10";"4";"3";"3";"0";"10";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Murali Mohan Maganti";"Rajahmundry";"86.12%";"56";"267";"1";"Andhra Pradesh";"Telugu Desam Party";"Elected";"18-May-14";"In office";"First";"78";"Male";"Inter/ Higher Secondary";"16th";"11";"21";"6";"9";"3";"3";"2";"0";"3";"4";"1";"16";"21";"5";"30";"9";"26";"5";"2";"0";"7";"4";"2";"4";"1";"6";"0";"1";"18";"2";"8";"1";"5";"17";"2";"4";"0";"0";"1";"1";"5";"8";"1";"4";"5";"8";"1";"0";"0";"0";"2";"1";"1";"0";"7";"3";"0";"0";"3";"0";"1";"2";"0";"3";"0";"0";"0";"1";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Murli Manohar Joshi";"Kanpur";"90.76%";"0";"2";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Sixth";"85";"Male";"Doctorate";"16th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Muttamsetti Srinivasa Rao (Avanthi)";"Anakapalli";"83.47%";"74";"364";"1";"Andhra Pradesh";"Telugu Desam Party";"Elected";"18-May-14";"In office";"First";"51";"Male";"Inter/ Higher Secondary";"16th";"18";"22";"17";"6";"5";"2";"2";"1";"0";"3";"5";"27";"32";"9";"24";"17";"17";"22";"2";"7";"12";"24";"3";"5";"8";"2";"3";"4";"6";"7";"6";"6";"8";"16";"1";"4";"0";"2";"5";"4";"7";"8";"6";"4";"3";"3";"2";"0";"0";"1";"4";"1";"1";"2";"7";"6";"2";"1";"0";"9";"1";"3";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Muzaffar Hussain Baig";"Baramulla";"11.06%";"3";"19";"0";"Jammu and Kashmir";"Jammu and Kashmir Peoples Democratic Party";"Elected";"18-May-14";"In office";"First";"72";"Male";"Post Graduate";"16th";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3";"1";"0";"1";"0";"3";"3";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"M. Vasanthi";"Tenkasi";"75.29%";"22";"282";"0";"Tamil Nadu";"All India Anna Dravida Munnetra Kazhagam";"Elected";"18-May-14";"In office";"First";"57";"Female";"Post Graduate";"16th";"7";"10";"2";"0";"2";"1";"0";"0";"2";"1";"5";"17";"14";"8";"22";"15";"15";"8";"3";"3";"2";"6";"3";"2";"5";"6";"3";"3";"4";"5";"0";"6";"8";"24";"1";"11";"2";"1";"1";"5";"6";"11";"7";"2";"0";"5";"3";"0";"0";"4";"5";"2";"6";"3";"0";"7";"0";"0";"1";"3";"1";"0";"3";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"M. Veerappa Moily";"Chikkballapur";"87.82%";"23";"12";"0";"Karnataka";"Indian National Congress";"Elected";"18-May-14";"In office";"Second";"79";"Male";"Professional Graduate";"16th";"0";"4";"10";"6";"2";"0";"1";"0";"0";"0";"0";"1";"2";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Naba Kumar Sarania (Hira)";"Kokrajhar";"81.82%";"22";"78";"0";"Assam";"Independent";"Elected";"18-May-14";"In office";"First";"49";"Male";"Inter/ Higher Secondary";"16th";"9";"12";"0";"0";"0";"0";"1";"0";"1";"0";"1";"12";"3";"4";"1";"2";"6";"0";"0";"0";"3";"0";"2";"1";"0";"1";"0";"0";"4";"3";"1";"3";"4";"3";"0";"1";"1";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"3";"0";"5";"1";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nagendra Pratap Singh Patel";"Phulpur";"85.75%";"5";"12";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"16-Mar-18";"In office";"First";"50";"Male";"Graduate";"16th";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nagendra Kumar Pradhan";"Sambalpur";"90.41%";"48";"556";"1";"Odisha";"Biju Janata Dal";"Elected";"18-May-14";"In office";"First";"66";"Male";"Professional Graduate";"16th";"13";"21";"5";"4";"2";"2";"0";"0";"0";"7";"8";"20";"36";"17";"25";"8";"38";"14";"6";"17";"22";"15";"12";"6";"5";"6";"6";"25";"8";"9";"3";"10";"17";"21";"19";"13";"0";"5";"4";"13";"12";"17";"10";"5";"3";"6";"10";"1";"0";"0";"9";"5";"7";"1";"4";"9";"0";"1";"14";"10";"2";"2";"1";"8";"2";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nagendra Singh";"Khajuraho";"77.31%";"7";"0";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"21-12-2018";"First";"76";"Male";"Graduate";"16th";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nalin Kumar Kateel";"Dakshina Kannada";"91.88%";"45";"687";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Second";"52";"Male";"Matric";"16th";"5";"12";"0";"16";"5";"3";"1";"3";"5";"3";"7";"18";"54";"6";"39";"15";"41";"20";"14";"1";"15";"7";"7";"13";"25";"6";"6";"15";"18";"21";"15";"9";"25";"42";"22";"15";"1";"4";"3";"17";"17";"11";"13";"5";"4";"12";"7";"0";"0";"5";"16";"1";"4";"9";"9";"10";"2";"2";"7";"10";"5";"4";"1";"3";"5";"0";"0";"0";"12";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nanabhau Falgunrao Patole";"Bhandara-Gondiya";"92.75%";"89";"352";"1";"Maharashtra";"Bharatiya Janata Party";"Elected";"18-May-14";"14-12-2017";"First";"56";"Male";"Inter/ Higher Secondary";"16th";"23";"48";"3";"2";"4";"4";"1";"0";"0";"0";"5";"24";"33";"18";"20";"15";"24";"6";"3";"2";"10";"6";"3";"0";"11";"5";"4";"9";"5";"2";"2";"2";"16";"27";"3";"9";"2";"3";"2";"13";"14";"5";"5";"3";"1";"2";"2";"1";"0";"5";"3";"0";"2";"2";"1";"2";"0";"0";"4";"8";"1";"4";"0";"2";"0";"0";"1";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nandkumar Singh Chouhan (Nandu Bhaiya)";"Khandwa";"57.24%";"7";"6";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Fifth";"66";"Male";"Graduate";"16th";"0";"0";"4";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Naramalli Sivaprasad";"Chittoor";"47.06%";"0";"69";"0";"Andhra Pradesh";"Telugu Desam Party";"Elected";"18-May-14";"In office";"Second";"67";"Male";"Professional Graduate";"16th";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"2";"11";"1";"3";"0";"4";"2";"1";"1";"1";"0";"1";"0";"1";"1";"0";"1";"1";"3";"2";"1";"10";"3";"0";"2";"0";"0";"0";"1";"2";"0";"3";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Naranbhai Kachhadia";"Amreli";"92.12%";"134";"762";"1";"Gujarat";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Second";"63";"Male";"Under Matric";"16th";"29";"66";"3";"17";"5";"4";"4";"6";"3";"10";"13";"30";"41";"26";"35";"29";"31";"22";"10";"16";"11";"16";"9";"8";"15";"20";"7";"19";"6";"18";"9";"11";"38";"34";"13";"18";"9";"9";"10";"17";"18";"16";"9";"8";"6";"10";"9";"0";"0";"10";"14";"8";"3";"3";"6";"13";"3";"7";"13";"11";"4";"4";"15";"2";"0";"1";"0";"0";"3";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Narendra Keshav Sawaikar";"South Goa";"89.18%";"21";"434";"1";"Goa";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"52";"Male";"Professional Graduate";"16th";"6";"3";"5";"3";"0";"1";"1";"2";"3";"7";"2";"20";"44";"13";"25";"27";"33";"16";"4";"5";"3";"6";"6";"7";"2";"7";"1";"10";"5";"9";"4";"5";"20";"9";"3";"16";"0";"5";"7";"5";"12";"13";"1";"8";"3";"5";"6";"0";"0";"6";"7";"7";"1";"5";"1";"3";"0";"4";"1";"10";"2";"7";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
