"Name";"Constituency";"Minister";"Attendance";"Debates";"Questions";"Private Member Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Comment";"Lok Sabha";"Questions (Ayush)";"Questions (Road Transport And Highways)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Chemicals And Fertilizers)";"Questions (Civil Aviation)";"Questions (Panchayati Raj)";"Questions (Railways)";"Questions (Home Affairs)";"Questions (Health And Family Welfare)";"Questions (Women And Child Development)";"Questions (Jal Shakti)";"Questions (Fisheries, Animal Husbandry And Dairying)";"Questions (Agriculture And Farmers Welfare)";"Questions (Finance)";"Questions (Housing And Urban Affairs)";"Questions (Electronics And Information Technology)";"Questions (Commerce And Industry)";"Questions (Youth Affairs And Sports)";"Questions (Tourism)";"Questions (External Affairs)";"Questions (Atomic Energy)";"Questions (Labour And Employment)";"Questions (Education)";"Debates (Ls - Matters Under (Rule-377))";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Special Mention)";"Debates (Ls - Short Duration Discussions (Rule-193))";"Debates (Motion Of Thanks On The President'S Address)";"Questions (Corporate Affairs)";"Questions (Rural Development)";"Questions (Law And Justice)";"Questions (Petroleum And Natural Gas)";"Questions (Communication)";"Questions (Ports, Shipping And Waterways)";"Questions (Power)";"Questions (Earth Sciences)";"Questions (Heavy Industries)";"Questions (Micro, Small And Medium Enterprises)";"Questions (Mines)";"Questions (Environment, Forest And Climate Change)";"Questions (Coal)";"Questions (Prime Minister)";"Questions (Statistics And Programme Implementation)";"Debates (Submissions By Members)";"Questions (Planning)";"Questions (Social Justice And Empowerment)";"Questions (Culture)";"Questions (Steel)";"Questions (Tribal Affairs)";"Questions (Defence)";"Questions (Skill Development And Entrepreneurship)";"Questions (Textiles)";"Questions (Science And Technology)";"Questions (Information And Broadcasting)";"Questions (Parliamentary Affairs)";"Questions (Cooperation)";"Questions (New And Renewable Energy)";"Questions (Food Processing Industries)";"Questions (Minority Affairs)";"Questions (Personnel, Public Grievances And Pensions)";"Questions (Space)";"Questions (Development Of North Eastern Region)";"Debates (Private Members' Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Debates (Private Members' Bills)"
"Krishan Pal Gurjar";"Faridabad";"Yes";"";"0";"0";"0";"Haryana";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"Third Term";"67";"Male";"Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Krishna Devi Shivshankar Patel";"Banda";"No";"90.00%";"3";"0";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"09-06-2024";"In Office";"First Term";"53";"Female";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Krishna Prasad Tenneti";"Bapatla";"No";"85.00%";"5";"46";"0";"Andhra Pradesh";"Telugu Desam Party";"Elected";"09-06-2024";"In Office";"First Term";"64";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"1.0";"0.0";"2.0";"0.0";"2.0";"0.0";"0.0";"0.0";"3.0";"2.0";"4.0";"1.0";"0.0";"2.0";"1.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"5.0";"2.0";"0.0";"1.0";"0.0";"1.0";"1.0";"1.0";"2.0";"1.0";"0.0";"1.0";"3.0";"0.0";"0.0";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"2.0";"0.0";"1.0";"0.0";"2.0";"1.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0"
"Kriti Devi Debbarman";"Tripura East";"No";"85.00%";"5";"15";"0";"Tripura";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"First Term";"53";"Female";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"2.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"3.0";"0.0";"0.0";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Kuldeep Indora";"Ganganagar";"No";"100.00%";"6";"27";"0";"Rajasthan";"Indian National Congress";"Elected";"09-06-2024";"In Office";"First Term";"55";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"1.0";"1.0";"2.0";"2.0";"0.0";"1.0";"1.0";"3.0";"0.0";"3.0";"0.0";"1.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"2.0";"2.0";"0.0";"1.0";"0.0";"2.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"K Sudhakaran";"Kannur";"No";"65.00%";"3";"57";"0";"Kerala";"Indian National Congress";"Elected";"09-06-2024";"In Office";"Third Term";"76";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"4.0";"1.0";"1.0";"5.0";"0.0";"3.0";"1.0";"2.0";"3.0";"2.0";"0.0";"0.0";"5.0";"0.0";"1.0";"1.0";"1.0";"0.0";"2.0";"1.0";"2.0";"2.0";"2.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"4.0";"1.0";"0.0";"1.0";"1.0";"1.0";"1.0";"0.0";"0.0";"1.0";"2.0";"0.0";"1.0";"0.0";"0.0";"1.0";"2.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Kunduru Raghuveer";"Nalgonda";"No";"60.00%";"0";"0";"0";"Telangana";"Indian National Congress";"Elected";"09-06-2024";"In Office";"First Term";"45";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Lalji Verma";"Ambedkar Nagar";"No";"85.00%";"16";"4";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"09-06-2024";"In Office";"First Term";"68";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"4.0";"1.0";"3.0";"7.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Lata Wankhede";"Sagar";"No";"85.00%";"6";"5";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"First Term";"54";"Female";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"1.0";"2.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Lavu Sri Krishna Devarayalu";"Narsaraopet";"No";"90.00%";"9";"37";"0";"Andhra Pradesh";"Telugu Desam Party";"Elected";"09-06-2024";"In Office";"Second Term";"41";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"5.0";"3.0";"1.0";"0.0";"1.0";"2.0";"2.0";"1.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"2.0";"2.0";"2.0";"1.0";"1.0";"1.0";"3.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"1.0";"1.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Laxmikant Pappu Nishad";"Sant Kabir Nagar";"No";"100.00%";"6";"4";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"09-06-2024";"In Office";"First Term";"50";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"2.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Lovely Anand";"Sheohar";"No";"95.00%";"11";"10";"0";"Bihar";"Janata Dal (United)";"Elected";"09-06-2024";"In Office";"Second Term";"58";"Female";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"2.0";"2.0";"1.0";"4.0";"1.0";"1.0";"0.0";"1.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Lumba Ram";"Jalore";"No";"100.00%";"6";"65";"0";"Rajasthan";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"First Term";"60";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"2.0";"1.0";"1.0";"1.0";"3.0";"1.0";"4.0";"1.0";"3.0";"3.0";"6.0";"3.0";"1.0";"2.0";"4.0";"1.0";"1.0";"2.0";"2.0";"0.0";"0.0";"0.0";"4.0";"4.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"1.0";"1.0";"2.0";"1.0";"0.0";"0.0";"3.0";"1.0";"2.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"2.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"M K Raghavan";"Kozhikode";"No";"75.00%";"10";"40";"0";"Kerala";"Indian National Congress";"Elected";"09-06-2024";"In Office";"Fourth Term";"72";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"1.0";"0.0";"0.0";"4.0";"0.0";"4.0";"0.0";"6.0";"0.0";"0.0";"0.0";"1.0";"2.0";"1.0";"1.0";"1.0";"0.0";"0.0";"2.0";"0.0";"0.0";"5.0";"2.0";"1.0";"1.0";"5.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"2.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"M K Vishnu Prasad";"Cuddalore";"No";"85.00%";"7";"33";"0";"Tamil Nadu";"Indian National Congress";"Elected";"09-06-2024";"In Office";"Second Term";"52";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"2.0";"1.0";"1.0";"0.0";"2.0";"2.0";"0.0";"0.0";"2.0";"1.0";"0.0";"0.0";"3.0";"1.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"4.0";"2.0";"0.0";"0.0";"1.0";"1.0";"2.0";"1.0";"1.0";"2.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"M Mallesh Babu";"Kolar";"No";"100.00%";"4";"6";"0";"Karnataka";"Janata Dal (Secular)";"Elected";"09-06-2024";"In Office";"First Term";"50";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"M P Abdussamad Samadani";"Ponnani";"No";"100.00%";"9";"47";"0";"Kerala";"Indian Union Muslim League";"Elected";"09-06-2024";"In Office";"Second Term";"66";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"3.0";"1.0";"2.0";"3.0";"0.0";"3.0";"0.0";"2.0";"2.0";"2.0";"3.0";"3.0";"1.0";"0.0";"1.0";"1.0";"1.0";"0.0";"3.0";"0.0";"0.0";"5.0";"3.0";"2.0";"3.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"2.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Maddila Gurumoorthy";"Thirupati";"No";"90.00%";"9";"42";"1";"Andhra Pradesh";"Yuvajana Sramika Rythu Congress Party";"Elected";"09-06-2024";"In Office";"Second Term";"39";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"2.0";"0.0";"2.0";"2.0";"1.0";"0.0";"3.0";"2.0";"1.0";"0.0";"1.0";"0.0";"2.0";"1.0";"0.0";"0.0";"1.0";"1.0";"1.0";"0.0";"0.0";"3.0";"2.0";"4.0";"0.0";"3.0";"1.0";"1.0";"0.0";"0.0";"0.0";"1.0";"3.0";"1.0";"4.0";"0.0";"0.0";"0.0";"1.0";"0.0";"2.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Madhavaneni Raghunandan Rao";"Medak";"No";"100.00%";"5";"20";"0";"Telangana";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"First Term";"59";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"1.0";"3.0";"0.0";"0.0";"3.0";"0.0";"3.0";"0.0";"1.0";"0.0";"0.0";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"1.0";"1.0";"1.0";"0.0";"0.0";"1.0";"2.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Magunta Sreenivasulu Reddy";"Ongole";"No";"85.00%";"3";"55";"0";"Andhra Pradesh";"Telugu Desam Party";"Elected";"09-06-2024";"In Office";"Fifth Term";"71";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"1.0";"3.0";"2.0";"0.0";"2.0";"0.0";"3.0";"1.0";"5.0";"1.0";"3.0";"2.0";"2.0";"3.0";"0.0";"0.0";"0.0";"1.0";"1.0";"2.0";"0.0";"1.0";"3.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"2.0";"2.0";"0.0";"0.0";"1.0";"1.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"1.0";"2.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Mahendra Singh Solanky";"Dewas";"No";"95.00%";"0";"20";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"Second Term";"40";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"2.0";"1.0";"2.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Mahesh Kashyap";"Bastar";"No";"90.00%";"3";"14";"0";"Chhattisgarh";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"First Term";"49";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Mahesh Sharma";"Gautam Buddha Nagar";"No";"90.00%";"0";"0";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"Third Term";"65";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Mahima Kumari Mewar";"Rajsamand";"No";"75.00%";"4";"0";"0";"Rajasthan";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"First Term";"52";"Female";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Mahua Moitra";"Krishnanagar";"No";"95.00%";"3";"1";"0";"West Bengal";"All India Trinamool Congress";"Elected";"09-06-2024";"In Office";"Second Term";"50";"Female";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Mala Rajya Laxmi Shah";"Tehri Garhwal";"No";"90.00%";"1";"1";"0";"Uttarakhand";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"Fourth Term";"74";"Female";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
