"Name";"Constituency";"Minister";"Attendance";"Debates";"Questions";"Private Member Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Comment";"Lok Sabha";"Debates (Special Mention)";"Debates (Ls - Matters Under (Rule-377))";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Budget (Railways))";"Debates (Motion Of Thanks On The President'S Address)";"Debates (Submissions By Members)";"Debates (Ls - Motion To Consider Policy, Situation, Statement Or Any Other Matter (Rule- 191 & 342))";"Debates (Ls - Short Duration Discussions (Rule-193))";"Questions (Tribal Affairs)";"Questions (Finance)";"Questions (Health And Family Welfare)";"Questions (Corporate Affairs)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Railways)";"Questions (Human Resource Development)";"Questions (Urban Development)";"Questions (Home Affairs)";"Questions (Agriculture)";"Questions (Civil Aviation)";"Questions (Prime Minister)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Environment And Forests)";"Questions (Labour And Employment)";"Questions (Defence)";"Questions (Power)";"Questions (Social Justice And Empowerment)";"Questions (Road Transport And Highways)";"Questions (Steel)";"Questions (Petroleum And Natural Gas)";"Questions (Minority Affairs)";"Questions (Communications And Information Technology)";"Questions (Rural Development)";"Questions (Commerce And Industry)";"Questions (Overseas Indian Affairs)";"Questions (External Affairs)";"Questions (Chemicals And Fertilizers)";"Questions (Law And Justice)";"Questions (Mines)";"Questions (Women And Child Development)";"Questions (New And Renewable Energy)";"Questions (Shipping)";"Questions (Tourism)";"Questions (Micro, Small And Medium Enterprises)";"Questions (Information And Broadcasting)";"Questions (Textiles)";"Questions (Water Resources)";"Questions (Culture)";"Questions (Youth Affairs And Sports)";"Questions (Coal)";"Questions (Housing And Urban Poverty Alleviation)";"Questions (Drinking Water And Sanitation)";"Questions (Development Of North Eastern Region)";"Questions (Earth Sciences)";"Questions (Panchayati Raj)";"Questions (Food Processing Industries)";"Questions (Statistics And Programme Implementation)";"Questions (Science And Technology)";"Debates (Private Members' Bills)";"Debates (Private Members' Resolutions)";"Debates (Government Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Debates (Budget (States))";"Debates (Ls - Matters Of Urgent Public Importance (Rule-184))";"Debates (Statutory Resolutions)";"Debates (Felicitations)";"Debates (Adjournment Motion)";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Questions (Parliamentary Affairs)";"Debates (Others)";"Debates (Clarification On The Statement By Minister)";"Questions (Planning)";"Debates (Ls - Explanation By Members (Rule-199))";"Questions (Housing And Urban Affairs)";"Questions (Water Resources, River Development And Ganga Rejuvenation)";"Questions (Agriculture And Farmers Welfare)";"Questions (Environment, Forests And Climate Change)";"Questions (Communications)";"Questions (Environment, Forest And Climate Change)";"Questions (Electronics And Information Technology)";"Questions (Ayush)";"Questions (Skill Development And Entrepreneurship)";"Questions (Skill Development, Entrepreneurship, Youth Affairs And Sports)";"Debates (Statutory Resolution And Government Bill)";"Questions (Personnel, Public Grievances And Pensions)";"Debates (Ls - No-Confidence Motion (Rule-198))";"Debates (Ls - Personal Explanation By Members (Rule-357))";"Questions (Atomic Energy)";"Debates (Motion Of Thanks On The President�S Address)";"Questions (Ports, Shipping And Waterways)";"Questions (Jal Shakti)";"Questions (Education)";"Questions (Cooperation)";"Questions (Fisheries, Animal Husbandry And Dairying)";"Questions (Statiscs And Programme Implementation)";"Debates (Discussion)";"Debates (Statement By Minister)";"Questions (Consumer Affairs)";"Questions (Micro)";"Questions (Heavy Industries)";"Questions (Space)";"Questions (Communication)"
"Rampreet Mandal";"Jhanjharpur";"No";"91.47%";"21";"35";"0";"Bihar";"Janata Dal (United)";"Elected";"23-05-2019";"In Office";"First Term";"68.0";"Male";"Matric";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"9.0";"0.0";"4.0";"5.0";"0.0";"1.0";"0.0";"0.0";"2.0";"0.0";"3.0";"3.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"2.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"3.0";"0.0";"1.0";"3.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"3.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Ramulu Pothuganti";"Nagarkurnool";"No";"80.60%";"22";"6";"0";"Telangana";"Bharat Rashtra Samithi";"Elected";"23-05-2019";"In Office";"First Term";"71.0";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"11.0";"4.0";"2.0";"4.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Ramya Haridas";"Alathur";"No";"74.33%";"54";"321";"0";"Kerala";"Indian National Congress";"Elected";"23-05-2019";"In Office";"First Term";"38.0";"Female";"Information Not Available";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"32.0";"11.0";"4.0";"5.0";"0.0";"1.0";"0.0";"0.0";"1.0";"4.0";"10.0";"14.0";"9.0";"7.0";"9.0";"3.0";"0.0";"7.0";"0.0";"9.0";"9.0";"9.0";"0.0";"10.0";"5.0";"8.0";"3.0";"7.0";"4.0";"11.0";"3.0";"0.0";"6.0";"7.0";"0.0";"5.0";"10.0";"7.0";"2.0";"7.0";"7.0";"2.0";"4.0";"6.0";"11.0";"5.0";"0.0";"4.0";"3.0";"6.0";"0.0";"0.0";"0.0";"2.0";"3.0";"2.0";"4.0";"4.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"3.0";"0.0";"11.0";"0.0";"2.0";"15.0";"3.0";"9.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"10.0";"7.0";"0.0";"7.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Ranjanben Bhatt";"Vadodara";"No";"90.27%";"36";"271";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"62.0";"Female";"Inter/ Higher Secondary";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"10.0";"1.0";"1.0";"17.0";"0.0";"5.0";"0.0";"0.0";"1.0";"2.0";"17.0";"24.0";"1.0";"0.0";"16.0";"6.0";"0.0";"24.0";"0.0";"4.0";"5.0";"4.0";"0.0";"5.0";"6.0";"4.0";"3.0";"17.0";"2.0";"3.0";"0.0";"0.0";"2.0";"10.0";"0.0";"1.0";"7.0";"5.0";"1.0";"5.0";"2.0";"0.0";"3.0";"2.0";"1.0";"0.0";"0.0";"1.0";"2.0";"1.0";"0.0";"0.0";"0.0";"3.0";"0.0";"0.0";"0.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"8.0";"0.0";"18.0";"0.0";"6.0";"12.0";"6.0";"2.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"13.0";"10.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Ranjeeta Koli";"Bharatpur";"No";"95.47%";"39";"310";"3";"Rajasthan";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"44.0";"Female";"Under Matric";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"19.0";"10.0";"0.0";"7.0";"0.0";"2.0";"0.0";"0.0";"1.0";"1.0";"10.0";"26.0";"0.0";"5.0";"11.0";"2.0";"0.0";"3.0";"0.0";"4.0";"1.0";"5.0";"0.0";"9.0";"3.0";"4.0";"4.0";"9.0";"0.0";"9.0";"1.0";"0.0";"10.0";"12.0";"0.0";"2.0";"8.0";"2.0";"6.0";"11.0";"8.0";"1.0";"7.0";"5.0";"3.0";"7.0";"0.0";"8.0";"4.0";"1.0";"0.0";"0.0";"0.0";"1.0";"5.0";"7.0";"1.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"3.0";"0.0";"7.0";"0.0";"22.0";"0.0";"5.0";"12.0";"5.0";"4.0";"3.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"16.0";"8.0";"0.0";"5.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Ranjeetsinha Hindurao Naik Nimbalkar";"Madha";"No";"65.60%";"26";"405";"3";"Maharashtra";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"46.0";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"10.0";"14.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"9.0";"5.0";"34.0";"1.0";"4.0";"16.0";"2.0";"0.0";"9.0";"0.0";"10.0";"1.0";"13.0";"0.0";"16.0";"5.0";"8.0";"8.0";"12.0";"1.0";"6.0";"2.0";"0.0";"13.0";"12.0";"0.0";"3.0";"7.0";"8.0";"1.0";"13.0";"10.0";"0.0";"5.0";"8.0";"1.0";"8.0";"0.0";"7.0";"5.0";"0.0";"0.0";"0.0";"0.0";"5.0";"6.0";"8.0";"1.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"6.0";"0.0";"14.0";"0.0";"6.0";"6.0";"11.0";"13.0";"7.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"3.0";"14.0";"20.0";"3.0";"13.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0"
"Raosaheb Patil Danve";"Jalna";"Yes";"0";"0";"0";"0";"Maharashtra";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Fifth Term";"68.0";"Male";"Under Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Ratansinh Magansinh Rathod";"Panchmahal";"No";"96.67%";"16";"115";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"64.0";"Male";"Post Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"1.0";"3.0";"0.0";"9.0";"0.0";"3.0";"0.0";"0.0";"0.0";"2.0";"0.0";"11.0";"0.0";"1.0";"1.0";"1.0";"0.0";"2.0";"0.0";"4.0";"0.0";"2.0";"0.0";"3.0";"0.0";"0.0";"4.0";"1.0";"0.0";"1.0";"0.0";"0.0";"4.0";"1.0";"0.0";"0.0";"3.0";"0.0";"0.0";"5.0";"4.0";"1.0";"2.0";"2.0";"0.0";"4.0";"0.0";"4.0";"2.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"5.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"3.0";"0.0";"8.0";"0.0";"3.0";"3.0";"0.0";"5.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"4.0";"8.0";"1.0";"6.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Rathod Dipsinh Shankarsinh";"Sabarkantha";"No";"93.60%";"9";"243";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"71.0";"Male";"Under Matric";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"2.0";"0.0";"0.0";"5.0";"0.0";"2.0";"0.0";"0.0";"0.0";"3.0";"7.0";"18.0";"3.0";"2.0";"19.0";"2.0";"0.0";"3.0";"0.0";"9.0";"4.0";"4.0";"0.0";"6.0";"1.0";"4.0";"2.0";"6.0";"0.0";"4.0";"1.0";"0.0";"7.0";"1.0";"0.0";"5.0";"4.0";"5.0";"0.0";"2.0";"5.0";"2.0";"4.0";"2.0";"2.0";"7.0";"0.0";"6.0";"3.0";"1.0";"0.0";"0.0";"0.0";"2.0";"0.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"6.0";"0.0";"13.0";"0.0";"3.0";"4.0";"3.0";"13.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"4.0";"8.0";"17.0";"5.0";"6.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Rathva Gitaben Vajesingbhai";"Chhota Udaipur";"No";"94.00%";"29";"190";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"51.0";"Female";"Inter/ Higher Secondary";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"9.0";"3.0";"0.0";"12.0";"0.0";"4.0";"0.0";"0.0";"0.0";"5.0";"2.0";"6.0";"2.0";"2.0";"5.0";"5.0";"0.0";"0.0";"0.0";"4.0";"2.0";"5.0";"0.0";"6.0";"1.0";"6.0";"2.0";"4.0";"0.0";"3.0";"2.0";"0.0";"5.0";"4.0";"0.0";"3.0";"5.0";"7.0";"1.0";"7.0";"2.0";"2.0";"3.0";"6.0";"1.0";"5.0";"0.0";"7.0";"3.0";"4.0";"0.0";"0.0";"2.0";"2.0";"0.0";"7.0";"1.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"5.0";"0.0";"6.0";"0.0";"1.0";"8.0";"5.0";"7.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"5.0";"4.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Rattan Lal Kataria";"Ambala";"Yes";"99.00%";"30";"87";"0";"Haryana";"Bharatiya Janata Party";"Elected";"23-05-2019";"18-05-2023";"Third Term";"72.0";"Male";"Post Graduate";"This MP was a minister from May 30, 2019 to July 07, 2021. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"8.0";"16.0";"1.0";"2.0";"0.0";"0.0";"0.0";"0.0";"3.0";"0.0";"5.0";"5.0";"0.0";"0.0";"4.0";"0.0";"0.0";"3.0";"0.0";"0.0";"0.0";"3.0";"0.0";"4.0";"8.0";"0.0";"1.0";"2.0";"0.0";"1.0";"2.0";"0.0";"2.0";"7.0";"0.0";"1.0";"0.0";"1.0";"0.0";"5.0";"1.0";"0.0";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"2.0";"0.0";"2.0";"0.0";"1.0";"5.0";"1.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"3.0";"5.0";"1.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Ravi Shankar Prasad";"Patna Sahib";"Yes";"78.20%";"5";"0";"0";"Bihar";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"69.0";"Male";"Post Graduate";"This MP was a minister from May 30, 2019 to July 07, 2021. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"1.0";"0.0";"2.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Ravindra Kushawaha";"Salempur";"No";"89.33%";"52";"425";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"61.0";"Male";"Inter/ Higher Secondary";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"15.0";"28.0";"1.0";"6.0";"0.0";"1.0";"0.0";"0.0";"1.0";"2.0";"14.0";"28.0";"4.0";"6.0";"29.0";"4.0";"0.0";"8.0";"0.0";"17.0";"2.0";"11.0";"0.0";"12.0";"9.0";"4.0";"4.0";"14.0";"1.0";"6.0";"0.0";"0.0";"13.0";"8.0";"0.0";"6.0";"9.0";"4.0";"1.0";"7.0";"9.0";"1.0";"6.0";"6.0";"5.0";"5.0";"0.0";"9.0";"9.0";"7.0";"0.0";"0.0";"0.0";"4.0";"5.0";"3.0";"1.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"8.0";"0.0";"22.0";"0.0";"11.0";"20.0";"9.0";"13.0";"7.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"5.0";"11.0";"12.0";"4.0";"8.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Ravindra Shyamnarayan";"Gorakhpur";"No";"70.80%";"81";"480";"10";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"54.0";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"28.0";"38.0";"6.0";"4.0";"0.0";"3.0";"0.0";"0.0";"1.0";"4.0";"18.0";"28.0";"6.0";"7.0";"33.0";"4.0";"0.0";"11.0";"0.0";"17.0";"3.0";"11.0";"0.0";"15.0";"9.0";"2.0";"4.0";"13.0";"0.0";"9.0";"1.0";"0.0";"12.0";"10.0";"0.0";"8.0";"12.0";"4.0";"2.0";"7.0";"9.0";"0.0";"6.0";"6.0";"7.0";"4.0";"0.0";"16.0";"11.0";"8.0";"0.0";"0.0";"0.0";"5.0";"4.0";"4.0";"1.0";"4.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"11.0";"0.0";"19.0";"0.0";"11.0";"21.0";"10.0";"11.0";"8.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"5.0";"14.0";"17.0";"4.0";"12.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0"
"Ravneet Singh";"Ludhiana";"No";"90.40%";"56";"367";"5";"Punjab";"Indian National Congress";"Elected";"23-05-2019";"In Office";"Third Term";"48.0";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"31.0";"13.0";"4.0";"5.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"25.0";"37.0";"5.0";"4.0";"11.0";"1.0";"0.0";"18.0";"0.0";"12.0";"7.0";"8.0";"0.0";"5.0";"11.0";"8.0";"5.0";"12.0";"2.0";"8.0";"0.0";"0.0";"1.0";"10.0";"0.0";"13.0";"4.0";"6.0";"1.0";"5.0";"4.0";"2.0";"3.0";"5.0";"4.0";"5.0";"0.0";"10.0";"5.0";"5.0";"0.0";"0.0";"0.0";"8.0";"1.0";"2.0";"4.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"7.0";"0.0";"23.0";"0.0";"4.0";"14.0";"7.0";"0.0";"6.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"5.0";"4.0";"10.0";"1.0";"3.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0"
"Rebati Tripura";"Tripura East";"No";"92.07%";"13";"235";"0";"Tripura";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"47.0";"Male";"Information Not Available";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"4.0";"7.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"5.0";"8.0";"7.0";"1.0";"1.0";"14.0";"5.0";"0.0";"7.0";"0.0";"2.0";"1.0";"3.0";"0.0";"1.0";"3.0";"2.0";"3.0";"8.0";"1.0";"4.0";"0.0";"0.0";"5.0";"10.0";"0.0";"2.0";"2.0";"3.0";"3.0";"8.0";"3.0";"2.0";"12.0";"11.0";"1.0";"9.0";"0.0";"3.0";"5.0";"2.0";"0.0";"0.0";"1.0";"0.0";"0.0";"5.0";"0.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"9.0";"0.0";"16.0";"0.0";"6.0";"6.0";"6.0";"7.0";"5.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"8.0";"3.0";"1.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Rekha Verma";"Dhaurahra";"No";"84.27%";"61";"92";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"50.0";"Female";"Inter/ Higher Secondary";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"50.0";"4.0";"0.0";"6.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"2.0";"5.0";"0.0";"0.0";"4.0";"0.0";"0.0";"1.0";"0.0";"3.0";"0.0";"1.0";"0.0";"3.0";"2.0";"3.0";"0.0";"4.0";"0.0";"2.0";"0.0";"0.0";"4.0";"4.0";"0.0";"0.0";"3.0";"1.0";"0.0";"4.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0";"0.0";"1.0";"4.0";"1.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"4.0";"0.0";"5.0";"0.0";"3.0";"3.0";"2.0";"7.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"4.0";"4.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Renuka Singh Saruta";"Surguja";"Yes";"0";"0";"0";"0";"Chhattisgarh";"Bharatiya Janata Party";"Elected";"23-05-2019";"07-12-2023";"First Term";"60.0";"Female";"Inter/ Higher Secondary";"This MP was a minister till 7 Dec 2023. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
